"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"171","CPNG","FALSE","30.585258",,,"2026-05-20","2026-05-29","16.6","2026-05-28","16.2","2.47","LATEST_PRICE_OK"
"172","NRG","FALSE","30.585171",,,"2026-05-20","2026-05-29","134.08","2026-05-28","137.5","-2.49","LATEST_PRICE_OK"
"173","ABR","FALSE","30.45302",,,"2026-05-20","2026-05-29","5.75","2026-05-28","5.64","1.95","LATEST_PRICE_OK"
"174","NVAX","FALSE","30.43812",,,"2026-05-21","2026-05-29","10.97","2026-05-28","10.32","6.3","LATEST_PRICE_OK"
"175","CAI","FALSE","30.424312",,,"2026-05-22","2026-05-29","16.72","2026-05-28","16.67","0.3","LATEST_PRICE_OK"
"176","CART","FALSE","30.341315",,,"2026-05-20","2026-05-29","39.8","2026-05-28","39.94","-0.35","LATEST_PRICE_OK"
"177","TTD","FALSE","30.316083",,,"2026-05-21","2026-05-29","21.56","2026-05-28","21.15","1.94","LATEST_PRICE_OK"
"178","KLIC","FALSE","30.284",,,"2026-05-26","2026-05-29","101.89","2026-05-28","104.75","-2.73","LATEST_PRICE_OK"
"179","NET","FALSE","30.24",,,"2026-05-26","2026-05-29","241.82","2026-05-28","228.11","6.01","LATEST_PRICE_OK"
"180","FWONK","FALSE","30.151076",,,"2026-05-20","2026-05-29","90.79","2026-05-28","91.06","-0.3","LATEST_PRICE_OK"
"181","YPF","FALSE","30.133517",,,"2026-05-21","2026-05-29","53.01","2026-05-28","52","1.94","LATEST_PRICE_OK"
"182","APP","FALSE","30.097501",,,"2026-05-20","2026-05-29","613.09","2026-05-28","599.89","2.2","LATEST_PRICE_OK"
"183","PDD","FALSE","30.086842",,,"2026-05-21","2026-05-29","84.44","2026-05-28","83.03","1.7","LATEST_PRICE_OK"
"184","DELL","FALSE","30.032",,,"2026-05-26","2026-05-29","420.91","2026-05-28","317.05","32.76","LATEST_PRICE_OK"
"185","PFGC","FALSE","30.020483",,,"2026-05-21","2026-05-29","98.19","2026-05-28","97.21","1.01","LATEST_PRICE_OK"
"186","ZG","FALSE","30.005827",,,"2026-05-21","2026-05-29","35.36","2026-05-28","35.8","-1.23","LATEST_PRICE_OK"
"187","CEG","FALSE","29.856",,,"2026-05-26","2026-05-29","287.75","2026-05-28","286.31","0.5","LATEST_PRICE_OK"
"188","FLUT","FALSE","29.847202",,,"2026-05-20","2026-05-29","96.98","2026-05-28","95.58","1.46","LATEST_PRICE_OK"
"189","RSP","FALSE","29.841267",,,"2026-05-21","2026-05-29","208.83","2026-05-28","208.25","0.28","LATEST_PRICE_OK"
"190","KRC","FALSE","29.806166",,,"2026-05-20","2026-05-29","34.27","2026-05-28","34.36","-0.26","LATEST_PRICE_OK"
"191","Z","FALSE","29.761568",,,"2026-05-21","2026-05-29","35","2026-05-28","35.44","-1.24","LATEST_PRICE_OK"
"192","FCNCA","FALSE","29.737042",,,"2026-05-21","2026-05-29","1990.51","2026-05-28","2009.03","-0.92","LATEST_PRICE_OK"
"193","HLT","FALSE","29.719989",,,"2026-05-20","2026-05-29","327.66","2026-05-28","337.55","-2.93","LATEST_PRICE_OK"
"194","KNX","FALSE","29.692455",,,"2026-05-20","2026-05-29","75.63","2026-05-28","75.02","0.81","LATEST_PRICE_OK"
"195","AMC","FALSE","29.608772",,,"2026-05-21","2026-05-29","1.73","2026-05-28","1.58","9.49","LATEST_PRICE_OK"
"196","V","FALSE","29.501591",,,"2026-05-21","2026-05-29","326.36","2026-05-28","324.95","0.43","LATEST_PRICE_OK"
"197","TIGR","FALSE","29.475559",,,"2026-05-21","2026-05-29","5.14","2026-05-28","5.01","2.59","LATEST_PRICE_OK"
"198","EQT","FALSE","29.436562",,,"2026-05-20","2026-05-29","54.93","2026-05-28","55.35","-0.76","LATEST_PRICE_OK"
